image_id,path,label,source_dataset,generator_name,pool,split
genimage_adm_1_000000,data/normalized/genimage_adm/genimage_adm_1_000000.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000001,data/normalized/genimage_adm/genimage_adm_1_000001.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000002,data/normalized/genimage_adm/genimage_adm_1_000002.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000003,data/normalized/genimage_adm/genimage_adm_1_000003.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000004,data/normalized/genimage_adm/genimage_adm_1_000004.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000005,data/normalized/genimage_adm/genimage_adm_1_000005.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000006,data/normalized/genimage_adm/genimage_adm_1_000006.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000007,data/normalized/genimage_adm/genimage_adm_1_000007.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000008,data/normalized/genimage_adm/genimage_adm_1_000008.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000009,data/normalized/genimage_adm/genimage_adm_1_000009.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000010,data/normalized/genimage_adm/genimage_adm_1_000010.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000011,data/normalized/genimage_adm/genimage_adm_1_000011.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000012,data/normalized/genimage_adm/genimage_adm_1_000012.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000013,data/normalized/genimage_adm/genimage_adm_1_000013.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000014,data/normalized/genimage_adm/genimage_adm_1_000014.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000015,data/normalized/genimage_adm/genimage_adm_1_000015.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000016,data/normalized/genimage_adm/genimage_adm_1_000016.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000017,data/normalized/genimage_adm/genimage_adm_1_000017.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000018,data/normalized/genimage_adm/genimage_adm_1_000018.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000019,data/normalized/genimage_adm/genimage_adm_1_000019.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000020,data/normalized/genimage_adm/genimage_adm_1_000020.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000021,data/normalized/genimage_adm/genimage_adm_1_000021.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000022,data/normalized/genimage_adm/genimage_adm_1_000022.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000023,data/normalized/genimage_adm/genimage_adm_1_000023.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000024,data/normalized/genimage_adm/genimage_adm_1_000024.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000025,data/normalized/genimage_adm/genimage_adm_1_000025.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000026,data/normalized/genimage_adm/genimage_adm_1_000026.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000027,data/normalized/genimage_adm/genimage_adm_1_000027.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000028,data/normalized/genimage_adm/genimage_adm_1_000028.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000029,data/normalized/genimage_adm/genimage_adm_1_000029.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000030,data/normalized/genimage_adm/genimage_adm_1_000030.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000031,data/normalized/genimage_adm/genimage_adm_1_000031.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000032,data/normalized/genimage_adm/genimage_adm_1_000032.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000033,data/normalized/genimage_adm/genimage_adm_1_000033.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000034,data/normalized/genimage_adm/genimage_adm_1_000034.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000035,data/normalized/genimage_adm/genimage_adm_1_000035.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000036,data/normalized/genimage_adm/genimage_adm_1_000036.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000037,data/normalized/genimage_adm/genimage_adm_1_000037.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000038,data/normalized/genimage_adm/genimage_adm_1_000038.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000039,data/normalized/genimage_adm/genimage_adm_1_000039.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000040,data/normalized/genimage_adm/genimage_adm_1_000040.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000041,data/normalized/genimage_adm/genimage_adm_1_000041.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000042,data/normalized/genimage_adm/genimage_adm_1_000042.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000043,data/normalized/genimage_adm/genimage_adm_1_000043.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000044,data/normalized/genimage_adm/genimage_adm_1_000044.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000045,data/normalized/genimage_adm/genimage_adm_1_000045.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000046,data/normalized/genimage_adm/genimage_adm_1_000046.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000047,data/normalized/genimage_adm/genimage_adm_1_000047.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000048,data/normalized/genimage_adm/genimage_adm_1_000048.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000049,data/normalized/genimage_adm/genimage_adm_1_000049.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000050,data/normalized/genimage_adm/genimage_adm_1_000050.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000051,data/normalized/genimage_adm/genimage_adm_1_000051.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000052,data/normalized/genimage_adm/genimage_adm_1_000052.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000053,data/normalized/genimage_adm/genimage_adm_1_000053.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000054,data/normalized/genimage_adm/genimage_adm_1_000054.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000055,data/normalized/genimage_adm/genimage_adm_1_000055.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000056,data/normalized/genimage_adm/genimage_adm_1_000056.jpg,1,genimage,adm,A,member_train
genimage_adm_1_000057,data/normalized/genimage_adm/genimage_adm_1_000057.jpg,1,genimage,adm,A,member_train
